timestamp,old_pk,new_pk,action,name,status,error
2025-05-01T15:47:43.323418,1,112,CREATE,MIDLAND EAST POWER LTD,SUCCESS,
2025-05-01T15:47:43.510920,2,113,CREATE,BASHUNDHARA INDUSTRIAL COMPLEX LTD,SUCCESS,
2025-05-01T15:47:43.713977,3,114,CREATE,MEGHNA CEMENT MILLS LTD ,SUCCESS,
2025-05-01T15:47:43.885896,4,115,CREATE,LEON OVERSEAS PTE LTD ,SUCCESS,
2025-05-01T15:47:44.073419,5,116,CREATE,FMS MARITIME LTD,SUCCESS,
2025-05-01T15:47:44.245227,6,117,CREATE,CERAMIN FZ LLC,SUCCESS,
2025-05-01T15:47:44.432724,7,118,CREATE,BASHUNDHARA INDUSTRIAL COMPLEX LTD MADANGANJ ,SUCCESS,
2025-05-01T15:47:44.667169,8,119,CREATE,INTERTEK (SUISEE) SA ,SUCCESS,
2025-05-01T15:47:44.838998,9,120,CREATE,"BASHUNDHARA INDUSTRIAL COMPLEX LTD, MONGLA ",SUCCESS,
2025-05-01T15:47:45.026544,10,121,CREATE,ORION OIL AND SHIPPING LTD ,SUCCESS,
2025-05-01T15:47:45.229669,11,122,CREATE,MEGHNA EDIBLE OIL REFINERY LIMITED,SUCCESS,
2025-05-01T15:47:45.417169,12,123,CREATE,UNITED SHIPPING LINES,SUCCESS,
2025-05-01T15:47:45.604668,13,124,CREATE,SHEHZAD FOOD PRODUCTS LIMITED  ,SUCCESS,
2025-05-01T15:47:45.792170,14,125,CREATE,INTERTEK USA INC 101 CM,SUCCESS,
2025-05-01T15:47:45.979668,15,126,CREATE,FEEDERTECH PTE LIMITED ,SUCCESS,
2025-05-01T15:47:46.417170,16,127,CREATE,SEA CONSORTIUM BANGLADESH LTD,SUCCESS,
2025-05-01T15:47:46.604669,17,128,CREATE,BANGLADESH EDIBLE OILS LIMITED ,SUCCESS,
2025-05-01T15:47:46.808740,18,129,CREATE,BIDFOODS PROCUREMENT COMMUNITY LIMITED ,SUCCESS,
2025-05-01T15:47:47.060111,19,130,CREATE,PSA MARINE BANGLADESH SHIPPING (PVT) LTD ,SUCCESS,
2025-05-01T15:47:47.247678,20,131,CREATE,MASUD TRADING ,SUCCESS,
2025-05-01T15:47:47.450804,21,132,CREATE,AMANAT AGENCY ,SUCCESS,
2025-05-01T15:47:47.622678,22,133,CREATE,INTERTEK TESTING SERVICES (SINGAPORE) PTE LTD ,SUCCESS,
2025-05-01T15:47:47.794553,23,134,CREATE,BASHUNDHARA FOOD AND BEVERAGE INDUSTRIES LIMITED ,SUCCESS,
2025-05-01T15:47:47.982053,24,135,CREATE,M HASAN & CO ,SUCCESS,
2025-05-01T15:47:48.153928,25,136,CREATE,INTERTEK INDIA PVT LIMITED -MUMBAI,SUCCESS,
2025-05-01T15:47:48.325804,26,137,CREATE,INTERTEK AUSTRALIA ,SUCCESS,
2025-05-01T15:47:48.513303,27,138,CREATE,SINLUANG CO. LTD ,SUCCESS,
2025-05-01T15:47:48.700756,28,139,CREATE,BEIJING CRS METALLURGICAL MARCHINERY CO LTD ,SUCCESS,
2025-05-01T15:47:48.872679,29,140,CREATE,OLDENDORFF GMBH ,SUCCESS,
2025-05-01T15:47:49.060108,30,141,CREATE,ANOWARA TRADING ,SUCCESS,
2025-05-01T15:47:49.232053,31,142,CREATE,BISMILLAH STORE ,SUCCESS,
2025-05-01T15:47:49.388303,32,143,CREATE,HASSAN & BROTHERS ,SUCCESS,
2025-05-01T15:47:49.591354,33,144,CREATE,AGRICULTURE & ENERGY CARRIERS,SUCCESS,
2025-05-01T15:47:49.778854,34,145,CREATE,SVITZER ASIA PTE LTD ,SUCCESS,
2025-05-01T15:47:49.966428,35,146,CREATE,BROTHERS ESTABLISHMENT ,SUCCESS,
2025-05-01T15:47:50.153928,36,147,CREATE,BASHUNDHARA MULTI FOOD PRODUCTS LTD,SUCCESS,
2025-05-01T15:47:50.325803,37,148,CREATE,FEEDERTECH PTE LTD,SUCCESS,
2025-05-01T15:47:50.513303,38,149,CREATE,CLIO SHIPPING AND LOGISTICS (BANGLADESH) LIMITED,SUCCESS,
2025-05-01T15:47:50.685178,39,150,CREATE,ZAHID BROTHERS & ALHAMDULLAH,SUCCESS,
2025-05-01T15:47:50.872678,40,151,CREATE,BANGLADESH MEGA EXIM (PVT) LTD ,SUCCESS,
2025-05-01T15:47:51.060179,41,152,CREATE,MAMA VAGNEY OIL MILL,SUCCESS,
2025-05-01T15:47:51.216355,42,153,CREATE,AMANAT AGENCY,SUCCESS,
2025-05-01T15:47:51.403928,43,154,CREATE,INSPECTA BANGLADESH LIMITED ,SUCCESS,
2025-05-01T15:47:51.591428,44,155,CREATE,EAGLE SHIPPING LINES,SUCCESS,
2025-05-01T15:47:51.763303,45,156,CREATE,ALAM TRADING CORPORATION ,SUCCESS,
2025-05-01T15:47:51.935179,46,157,CREATE,SEA WORLD CORPORATION,SUCCESS,
2025-05-01T15:47:52.107054,47,158,CREATE,BASHUNDHARA OIL AND GAS COMPANY LTD ,SUCCESS,
2025-05-01T15:47:52.294482,48,159,CREATE,MOHAMMADI TRADING CO. LTD ,SUCCESS,
2025-05-01T15:47:52.482053,49,160,CREATE,BACONSULT INC EESTI FILIAAL,SUCCESS,
2025-05-01T15:47:52.653928,50,161,CREATE,BASHUNDHARA EXPORT IMPORT LIMITED ,SUCCESS,
2025-05-01T15:47:52.841356,51,162,CREATE,BASHUNDHARA IMPORT  EXPORT LIMITED,SUCCESS,
2025-05-01T15:47:53.028928,52,163,CREATE,BASHUNDHARA PAPER MILLS LTD ,SUCCESS,
2025-05-01T15:47:53.200804,53,164,CREATE,BAY FISHING CORPORATION LTD ,SUCCESS,
