model,old_pk,new_pk,action,name,status,error
client,1,112,CREATE,MIDLAND EAST POWER LTD,SUCCESS,
client,2,113,CREATE,BASHUNDHARA INDUSTRIAL COMPLEX LTD,SUCCESS,
client,3,114,CREATE,MEGHNA CEMENT MILLS LTD ,SUCCESS,
client,4,115,CREATE,LEON OVERSEAS PTE LTD ,SUCCESS,
client,5,116,CREATE,FMS MARITIME LTD,SUCCESS,
client,6,117,CREATE,CERAMIN FZ LLC,SUCCESS,
client,7,118,CREATE,BASHUNDHARA INDUSTRIAL COMPLEX LTD MADANGANJ ,SUCCESS,
client,8,119,CREATE,INTERTEK (SUISEE) SA ,SUCCESS,
client,9,120,CREATE,"BASHUNDHARA INDUSTRIAL COMPLEX LTD, MONGLA ",SUCCESS,
client,10,121,CREATE,ORION OIL AND SHIPPING LTD ,SUCCESS,
client,11,122,CREATE,MEGHNA EDIBLE OIL REFINERY LIMITED,SUCCESS,
client,12,123,CREATE,UNITED SHIPPING LINES,SUCCESS,
client,13,124,CREATE,SHEHZAD FOOD PRODUCTS LIMITED  ,SUCCESS,
client,14,125,CREATE,INTERTEK USA INC 101 CM,SUCCESS,
client,15,126,CREATE,FEEDERTECH PTE LIMITED ,SUCCESS,
client,16,127,CREATE,SEA CONSORTIUM BANGLADESH LTD,SUCCESS,
client,17,128,CREATE,BANGLADESH EDIBLE OILS LIMITED ,SUCCESS,
client,18,129,CREATE,BIDFOODS PROCUREMENT COMMUNITY LIMITED ,SUCCESS,
client,19,130,CREATE,PSA MARINE BANGLADESH SHIPPING (PVT) LTD ,SUCCESS,
client,20,131,CREATE,MASUD TRADING ,SUCCESS,
client,21,132,CREATE,AMANAT AGENCY ,SUCCESS,
client,22,133,CREATE,INTERTEK TESTING SERVICES (SINGAPORE) PTE LTD ,SUCCESS,
client,23,134,CREATE,BASHUNDHARA FOOD AND BEVERAGE INDUSTRIES LIMITED ,SUCCESS,
client,24,135,CREATE,M HASAN & CO ,SUCCESS,
client,25,136,CREATE,INTERTEK INDIA PVT LIMITED -MUMBAI,SUCCESS,
client,26,137,CREATE,INTERTEK AUSTRALIA ,SUCCESS,
client,27,138,CREATE,SINLUANG CO. LTD ,SUCCESS,
client,28,139,CREATE,BEIJING CRS METALLURGICAL MARCHINERY CO LTD ,SUCCESS,
client,29,140,CREATE,OLDENDORFF GMBH ,SUCCESS,
client,30,141,CREATE,ANOWARA TRADING ,SUCCESS,
client,31,142,CREATE,BISMILLAH STORE ,SUCCESS,
client,32,143,CREATE,HASSAN & BROTHERS ,SUCCESS,
client,33,144,CREATE,AGRICULTURE & ENERGY CARRIERS,SUCCESS,
client,34,145,CREATE,SVITZER ASIA PTE LTD ,SUCCESS,
client,35,146,CREATE,BROTHERS ESTABLISHMENT ,SUCCESS,
client,36,147,CREATE,BASHUNDHARA MULTI FOOD PRODUCTS LTD,SUCCESS,
client,37,148,CREATE,FEEDERTECH PTE LTD,SUCCESS,
client,38,149,CREATE,CLIO SHIPPING AND LOGISTICS (BANGLADESH) LIMITED,SUCCESS,
client,39,150,CREATE,ZAHID BROTHERS & ALHAMDULLAH,SUCCESS,
client,40,151,CREATE,BANGLADESH MEGA EXIM (PVT) LTD ,SUCCESS,
client,41,152,CREATE,MAMA VAGNEY OIL MILL,SUCCESS,
client,42,153,CREATE,AMANAT AGENCY,SUCCESS,
client,43,154,CREATE,INSPECTA BANGLADESH LIMITED ,SUCCESS,
client,44,155,CREATE,EAGLE SHIPPING LINES,SUCCESS,
client,45,156,CREATE,ALAM TRADING CORPORATION ,SUCCESS,
client,46,157,CREATE,SEA WORLD CORPORATION,SUCCESS,
client,47,158,CREATE,BASHUNDHARA OIL AND GAS COMPANY LTD ,SUCCESS,
client,48,159,CREATE,MOHAMMADI TRADING CO. LTD ,SUCCESS,
client,49,160,CREATE,BACONSULT INC EESTI FILIAAL,SUCCESS,
client,50,161,CREATE,BASHUNDHARA EXPORT IMPORT LIMITED ,SUCCESS,
client,51,162,CREATE,BASHUNDHARA IMPORT  EXPORT LIMITED,SUCCESS,
client,52,163,CREATE,BASHUNDHARA PAPER MILLS LTD ,SUCCESS,
client,53,164,CREATE,BAY FISHING CORPORATION LTD ,SUCCESS,
client,54,165,CREATE,HASSAN AUTOMATIC DAL MILLS ,SUCCESS,
client,55,166,CREATE,SALMA TRADING ,SUCCESS,
client,56,167,CREATE,AGRICULTURE & ENERGY CARRIERS,SUCCESS,
client,57,168,CREATE,BS CARGO AGENCY ,SUCCESS,
client,58,169,CREATE,EXPORT TRADING BD LTD ,SUCCESS,
client,59,170,CREATE,FAST FREIGHT PTE LTD ,SUCCESS,
client,60,171,CREATE,SILVER DAL MILL ,SUCCESS,
client,61,172,CREATE,US LINES OVERSEAS LIMITED ,SUCCESS,
client,62,173,CREATE,UNIQUE CEMENT INDUSTRIES LTD,SUCCESS,
client,63,174,CREATE,CHEN SHIP MANAGEMENT PTE. LTD,SUCCESS,
client,64,175,CREATE,SIENNA BAY SHIPPING LTD ,SUCCESS,
client,65,176,CREATE,IMERYS CERAMICS INDIA PVT LTD ,SUCCESS,
client,66,177,CREATE,GAZI COMMODITIES LIMITED,SUCCESS,
client,67,178,CREATE,"ISLAND VIEW SHIP,SG",SUCCESS,
client,68,179,CREATE,SUN LINE SHIPPING PTE LTD,SUCCESS,
client,69,180,CREATE,AL AMIN ESTABLISHMENT,SUCCESS,
client,70,181,CREATE,SAFE SHIPPING LINES LIMITED,SUCCESS,
client,71,182,CREATE,SHUN SHING EDIBLE OIL LIMITED,SUCCESS,
client,72,183,CREATE,ITS TESTING SERVICES (M) SDN BHD,SUCCESS,
client,73,184,CREATE,AMMS INTERNATIONAL LIMITED,SUCCESS,
